n_ensayo,suma,n,value,peso
9600,29,8,0.0447,1.2963
9848,29,8,0.0447,1.2963
9865,29,8,0.0447,1.2963
9879,29,8,0.0447,1.2963
208,24,7,0.054,1.296
424,24,7,0.054,1.296
550,24,7,0.054,1.296
1429,24,7,0.054,1.296
1512,24,7,0.054,1.296
2340,24,7,0.054,1.296
2556,24,7,0.054,1.296
2810,24,7,0.054,1.296
2855,24,7,0.054,1.296
3068,24,7,0.054,1.296
3242,24,7,0.054,1.296
3487,24,7,0.054,1.296
3687,24,7,0.054,1.296
4064,24,7,0.054,1.296
4358,24,7,0.054,1.296
4463,24,7,0.054,1.296
4537,24,7,0.054,1.296
4716,24,7,0.054,1.296
4753,24,7,0.054,1.296
4908,24,7,0.054,1.296
4979,24,7,0.054,1.296
5217,24,7,0.054,1.296
5319,24,7,0.054,1.296
5384,24,7,0.054,1.296
5527,24,7,0.054,1.296
5575,24,7,0.054,1.296
5751,24,7,0.054,1.296
5797,24,7,0.054,1.296
6075,24,7,0.054,1.296
6332,24,7,0.054,1.296
6390,24,7,0.054,1.296
6446,24,7,0.054,1.296
6531,24,7,0.054,1.296
6595,24,7,0.054,1.296
6761,24,7,0.054,1.296
6831,24,7,0.054,1.296
6988,24,7,0.054,1.296
7158,24,7,0.054,1.296
7504,24,7,0.054,1.296
7518,24,7,0.054,1.296
7663,24,7,0.054,1.296
7672,24,7,0.054,1.296
7744,24,7,0.054,1.296
7935,24,7,0.054,1.296
8158,24,7,0.054,1.296
8283,24,7,0.054,1.296
8444,24,7,0.054,1.296
8518,24,7,0.054,1.296
8715,24,7,0.054,1.296
8784,24,7,0.054,1.296
8929,24,7,0.054,1.296
9164,24,7,0.054,1.296
9746,24,7,0.054,1.296
338,44,11,0.0292,1.2848
406,44,11,0.0292,1.2848
708,44,11,0.0292,1.2848
1021,44,11,0.0292,1.2848
1326,44,11,0.0292,1.2848
1690,44,11,0.0292,1.2848
2290,44,11,0.0292,1.2848
4512,44,11,0.0292,1.2848
4712,44,11,0.0292,1.2848
4807,44,11,0.0292,1.2848
5171,44,11,0.0292,1.2848
5477,44,11,0.0292,1.2848
5785,44,11,0.0292,1.2848
7067,44,11,0.0292,1.2848
8038,44,11,0.0292,1.2848
8215,44,11,0.0292,1.2848
8241,44,11,0.0292,1.2848
8846,44,11,0.0292,1.2848
8877,44,11,0.0292,1.2848
9122,44,11,0.0292,1.2848
9896,44,11,0.0292,1.2848
462,38,10,0.0338,1.2843999999999998
808,38,10,0.0338,1.2843999999999998
986,38,10,0.0338,1.2843999999999998
2109,38,10,0.0338,1.2843999999999998
2178,38,10,0.0338,1.2843999999999998
2210,38,10,0.0338,1.2843999999999998
2511,38,10,0.0338,1.2843999999999998
2959,38,10,0.0338,1.2843999999999998
3445,38,10,0.0338,1.2843999999999998
3529,38,10,0.0338,1.2843999999999998
3699,38,10,0.0338,1.2843999999999998
4135,38,10,0.0338,1.2843999999999998
4615,38,10,0.0338,1.2843999999999998
5715,38,10,0.0338,1.2843999999999998
5721,38,10,0.0338,1.2843999999999998
6689,38,10,0.0338,1.2843999999999998
7162,38,10,0.0338,1.2843999999999998
7324,38,10,0.0338,1.2843999999999998
7531,38,10,0.0338,1.2843999999999998
7567,38,10,0.0338,1.2843999999999998
8112,38,10,0.0338,1.2843999999999998
8408,38,10,0.0338,1.2843999999999998
9271,38,10,0.0338,1.2843999999999998
9336,38,10,0.0338,1.2843999999999998
9554,38,10,0.0338,1.2843999999999998
9871,38,10,0.0338,1.2843999999999998
658,34,9,0.0376,1.2784
713,34,9,0.0376,1.2784
969,34,9,0.0376,1.2784
1140,34,9,0.0376,1.2784
1186,34,9,0.0376,1.2784
1535,34,9,0.0376,1.2784
1911,34,9,0.0376,1.2784
2281,34,9,0.0376,1.2784
2600,34,9,0.0376,1.2784
2949,34,9,0.0376,1.2784
3690,34,9,0.0376,1.2784
3720,34,9,0.0376,1.2784
4104,34,9,0.0376,1.2784
4111,34,9,0.0376,1.2784
4690,34,9,0.0376,1.2784
5367,34,9,0.0376,1.2784
5371,34,9,0.0376,1.2784
5529,34,9,0.0376,1.2784
6127,34,9,0.0376,1.2784
6452,34,9,0.0376,1.2784
6558,34,9,0.0376,1.2784
7353,34,9,0.0376,1.2784
7372,34,9,0.0376,1.2784
7378,34,9,0.0376,1.2784
7479,34,9,0.0376,1.2784
7820,34,9,0.0376,1.2784
8078,34,9,0.0376,1.2784
8533,34,9,0.0376,1.2784
8611,34,9,0.0376,1.2784
8748,34,9,0.0376,1.2784
9800,34,9,0.0376,1.2784
86,43,11,0.0292,1.2556
198,43,11,0.0292,1.2556
555,43,11,0.0292,1.2556
874,43,11,0.0292,1.2556
2235,43,11,0.0292,1.2556
3263,43,11,0.0292,1.2556
3632,43,11,0.0292,1.2556
3911,43,11,0.0292,1.2556
3969,43,11,0.0292,1.2556
4509,43,11,0.0292,1.2556
5726,43,11,0.0292,1.2556
6304,43,11,0.0292,1.2556
6676,43,11,0.0292,1.2556
6978,43,11,0.0292,1.2556
7146,43,11,0.0292,1.2556
7580,43,11,0.0292,1.2556
7761,43,11,0.0292,1.2556
8117,43,11,0.0292,1.2556
8356,43,11,0.0292,1.2556
8704,43,11,0.0292,1.2556
9094,43,11,0.0292,1.2556
9768,43,11,0.0292,1.2556
62,28,8,0.0447,1.2515999999999998
281,28,8,0.0447,1.2515999999999998
394,28,8,0.0447,1.2515999999999998
459,28,8,0.0447,1.2515999999999998
707,28,8,0.0447,1.2515999999999998
748,28,8,0.0447,1.2515999999999998
1154,28,8,0.0447,1.2515999999999998
1223,28,8,0.0447,1.2515999999999998
1617,28,8,0.0447,1.2515999999999998
1661,28,8,0.0447,1.2515999999999998
1667,28,8,0.0447,1.2515999999999998
1830,28,8,0.0447,1.2515999999999998
2394,28,8,0.0447,1.2515999999999998
2452,28,8,0.0447,1.2515999999999998
2475,28,8,0.0447,1.2515999999999998
2619,28,8,0.0447,1.2515999999999998
2659,28,8,0.0447,1.2515999999999998
2777,28,8,0.0447,1.2515999999999998
2977,28,8,0.0447,1.2515999999999998
3288,28,8,0.0447,1.2515999999999998
3364,28,8,0.0447,1.2515999999999998
3878,28,8,0.0447,1.2515999999999998
3934,28,8,0.0447,1.2515999999999998
3991,28,8,0.0447,1.2515999999999998
4101,28,8,0.0447,1.2515999999999998
4232,28,8,0.0447,1.2515999999999998
4258,28,8,0.0447,1.2515999999999998
4817,28,8,0.0447,1.2515999999999998
4958,28,8,0.0447,1.2515999999999998
5006,28,8,0.0447,1.2515999999999998
5142,28,8,0.0447,1.2515999999999998
5315,28,8,0.0447,1.2515999999999998
5442,28,8,0.0447,1.2515999999999998
5940,28,8,0.0447,1.2515999999999998
6098,28,8,0.0447,1.2515999999999998
6416,28,8,0.0447,1.2515999999999998
6550,28,8,0.0447,1.2515999999999998
6622,28,8,0.0447,1.2515999999999998
6923,28,8,0.0447,1.2515999999999998
7105,28,8,0.0447,1.2515999999999998
7767,28,8,0.0447,1.2515999999999998
8109,28,8,0.0447,1.2515999999999998
8147,28,8,0.0447,1.2515999999999998
8150,28,8,0.0447,1.2515999999999998
8347,28,8,0.0447,1.2515999999999998
8802,28,8,0.0447,1.2515999999999998
8964,28,8,0.0447,1.2515999999999998
8993,28,8,0.0447,1.2515999999999998
9069,28,8,0.0447,1.2515999999999998
9561,28,8,0.0447,1.2515999999999998
9974,28,8,0.0447,1.2515999999999998
482,37,10,0.0338,1.2506
734,37,10,0.0338,1.2506
925,37,10,0.0338,1.2506
1020,37,10,0.0338,1.2506
1718,37,10,0.0338,1.2506
1998,37,10,0.0338,1.2506
2431,37,10,0.0338,1.2506
2436,37,10,0.0338,1.2506
2703,37,10,0.0338,1.2506
2723,37,10,0.0338,1.2506
2771,37,10,0.0338,1.2506
2782,37,10,0.0338,1.2506
3259,37,10,0.0338,1.2506
3443,37,10,0.0338,1.2506
3672,37,10,0.0338,1.2506
3900,37,10,0.0338,1.2506
4181,37,10,0.0338,1.2506
4366,37,10,0.0338,1.2506
4426,37,10,0.0338,1.2506
4573,37,10,0.0338,1.2506
4972,37,10,0.0338,1.2506
5613,37,10,0.0338,1.2506
5876,37,10,0.0338,1.2506
6081,37,10,0.0338,1.2506
6370,37,10,0.0338,1.2506
6406,37,10,0.0338,1.2506
6680,37,10,0.0338,1.2506
6783,37,10,0.0338,1.2506
7083,37,10,0.0338,1.2506
7194,37,10,0.0338,1.2506
7536,37,10,0.0338,1.2506
7587,37,10,0.0338,1.2506
7945,37,10,0.0338,1.2506
8127,37,10,0.0338,1.2506
8295,37,10,0.0338,1.2506
8455,37,10,0.0338,1.2506
8997,37,10,0.0338,1.2506
347,23,7,0.054,1.242
395,23,7,0.054,1.242
431,23,7,0.054,1.242
493,23,7,0.054,1.242
599,23,7,0.054,1.242
750,23,7,0.054,1.242
882,23,7,0.054,1.242
902,23,7,0.054,1.242
1166,23,7,0.054,1.242
1308,23,7,0.054,1.242
1506,23,7,0.054,1.242
1580,23,7,0.054,1.242
1856,23,7,0.054,1.242
1901,23,7,0.054,1.242
2158,23,7,0.054,1.242
2169,23,7,0.054,1.242
2240,23,7,0.054,1.242
2476,23,7,0.054,1.242
2493,23,7,0.054,1.242
2633,23,7,0.054,1.242
2732,23,7,0.054,1.242
2818,23,7,0.054,1.242
2926,23,7,0.054,1.242
2946,23,7,0.054,1.242
3005,23,7,0.054,1.242
3046,23,7,0.054,1.242
3660,23,7,0.054,1.242
3773,23,7,0.054,1.242
3839,23,7,0.054,1.242
3887,23,7,0.054,1.242
4005,23,7,0.054,1.242
4037,23,7,0.054,1.242
4161,23,7,0.054,1.242
4191,23,7,0.054,1.242
4621,23,7,0.054,1.242
4866,23,7,0.054,1.242
4955,23,7,0.054,1.242
5024,23,7,0.054,1.242
5086,23,7,0.054,1.242
5300,23,7,0.054,1.242
5499,23,7,0.054,1.242
5592,23,7,0.054,1.242
5700,23,7,0.054,1.242
5985,23,7,0.054,1.242
6364,23,7,0.054,1.242
6547,23,7,0.054,1.242
6736,23,7,0.054,1.242
6859,23,7,0.054,1.242
7018,23,7,0.054,1.242
7055,23,7,0.054,1.242
7163,23,7,0.054,1.242
7425,23,7,0.054,1.242
7591,23,7,0.054,1.242
7592,23,7,0.054,1.242
7962,23,7,0.054,1.242
8261,23,7,0.054,1.242
8310,23,7,0.054,1.242
8424,23,7,0.054,1.242
8500,23,7,0.054,1.242
8726,23,7,0.054,1.242
8893,23,7,0.054,1.242
9039,23,7,0.054,1.242
9247,23,7,0.054,1.242
9343,23,7,0.054,1.242
9417,23,7,0.054,1.242
9702,23,7,0.054,1.242
9937,23,7,0.054,1.242
466,33,9,0.0376,1.2408000000000001
474,33,9,0.0376,1.2408000000000001
624,33,9,0.0376,1.2408000000000001
930,33,9,0.0376,1.2408000000000001
1235,33,9,0.0376,1.2408000000000001
1297,33,9,0.0376,1.2408000000000001
1452,33,9,0.0376,1.2408000000000001
1480,33,9,0.0376,1.2408000000000001
1610,33,9,0.0376,1.2408000000000001
1636,33,9,0.0376,1.2408000000000001
2222,33,9,0.0376,1.2408000000000001
2405,33,9,0.0376,1.2408000000000001
2706,33,9,0.0376,1.2408000000000001
3209,33,9,0.0376,1.2408000000000001
3255,33,9,0.0376,1.2408000000000001
4094,33,9,0.0376,1.2408000000000001
4301,33,9,0.0376,1.2408000000000001
4374,33,9,0.0376,1.2408000000000001
4969,33,9,0.0376,1.2408000000000001
5104,33,9,0.0376,1.2408000000000001
5130,33,9,0.0376,1.2408000000000001
5205,33,9,0.0376,1.2408000000000001
5380,33,9,0.0376,1.2408000000000001
5541,33,9,0.0376,1.2408000000000001
6045,33,9,0.0376,1.2408000000000001
6180,33,9,0.0376,1.2408000000000001
6213,33,9,0.0376,1.2408000000000001
6255,33,9,0.0376,1.2408000000000001
6296,33,9,0.0376,1.2408000000000001
6407,33,9,0.0376,1.2408000000000001
6652,33,9,0.0376,1.2408000000000001
6852,33,9,0.0376,1.2408000000000001
6938,33,9,0.0376,1.2408000000000001
7768,33,9,0.0376,1.2408000000000001
8501,33,9,0.0376,1.2408000000000001
8774,33,9,0.0376,1.2408000000000001
8870,33,9,0.0376,1.2408000000000001
9014,33,9,0.0376,1.2408000000000001
9112,33,9,0.0376,1.2408000000000001
9173,33,9,0.0376,1.2408000000000001
9419,33,9,0.0376,1.2408000000000001
9422,33,9,0.0376,1.2408000000000001
9462,33,9,0.0376,1.2408000000000001
9588,33,9,0.0376,1.2408000000000001
258,15,5,0.0825,1.2375
350,15,5,0.0825,1.2375
532,15,5,0.0825,1.2375
573,15,5,0.0825,1.2375
996,15,5,0.0825,1.2375
1000,15,5,0.0825,1.2375
1063,15,5,0.0825,1.2375
1138,15,5,0.0825,1.2375
1351,15,5,0.0825,1.2375
1411,15,5,0.0825,1.2375
1426,15,5,0.0825,1.2375
1482,15,5,0.0825,1.2375
1742,15,5,0.0825,1.2375
1851,15,5,0.0825,1.2375
1884,15,5,0.0825,1.2375
1907,15,5,0.0825,1.2375
2026,15,5,0.0825,1.2375
2248,15,5,0.0825,1.2375
2383,15,5,0.0825,1.2375
2526,15,5,0.0825,1.2375
2535,15,5,0.0825,1.2375
2549,15,5,0.0825,1.2375
2638,15,5,0.0825,1.2375
2687,15,5,0.0825,1.2375
2760,15,5,0.0825,1.2375
2912,15,5,0.0825,1.2375
2943,15,5,0.0825,1.2375
3136,15,5,0.0825,1.2375
3154,15,5,0.0825,1.2375
3202,15,5,0.0825,1.2375
3285,15,5,0.0825,1.2375
3344,15,5,0.0825,1.2375
3388,15,5,0.0825,1.2375
3495,15,5,0.0825,1.2375
3757,15,5,0.0825,1.2375
3894,15,5,0.0825,1.2375
4092,15,5,0.0825,1.2375
4095,55,12,0.0225,1.2375
4128,15,5,0.0825,1.2375
4137,15,5,0.0825,1.2375
4154,15,5,0.0825,1.2375
4167,15,5,0.0825,1.2375
4170,15,5,0.0825,1.2375
4216,15,5,0.0825,1.2375
4344,15,5,0.0825,1.2375
4383,15,5,0.0825,1.2375
4494,15,5,0.0825,1.2375
4498,15,5,0.0825,1.2375
4760,15,5,0.0825,1.2375
4900,15,5,0.0825,1.2375
4928,15,5,0.0825,1.2375
4994,15,5,0.0825,1.2375
5050,15,5,0.0825,1.2375
5082,15,5,0.0825,1.2375
5240,15,5,0.0825,1.2375
5338,15,5,0.0825,1.2375
5453,15,5,0.0825,1.2375
5543,15,5,0.0825,1.2375
5576,15,5,0.0825,1.2375
5702,15,5,0.0825,1.2375
5704,15,5,0.0825,1.2375
5718,15,5,0.0825,1.2375
5764,15,5,0.0825,1.2375
5817,15,5,0.0825,1.2375
5820,15,5,0.0825,1.2375
6028,15,5,0.0825,1.2375
6083,15,5,0.0825,1.2375
6085,55,12,0.0225,1.2375
6120,15,5,0.0825,1.2375
6185,15,5,0.0825,1.2375
6190,55,12,0.0225,1.2375
6199,15,5,0.0825,1.2375
6238,15,5,0.0825,1.2375
6342,15,5,0.0825,1.2375
6438,15,5,0.0825,1.2375
6483,15,5,0.0825,1.2375
6760,15,5,0.0825,1.2375
6960,15,5,0.0825,1.2375
7006,15,5,0.0825,1.2375
7045,15,5,0.0825,1.2375
7060,15,5,0.0825,1.2375
7159,15,5,0.0825,1.2375
7232,15,5,0.0825,1.2375
7361,15,5,0.0825,1.2375
7367,15,5,0.0825,1.2375
7559,15,5,0.0825,1.2375
7790,15,5,0.0825,1.2375
7796,15,5,0.0825,1.2375
7993,15,5,0.0825,1.2375
8050,15,5,0.0825,1.2375
8070,15,5,0.0825,1.2375
8105,15,5,0.0825,1.2375
8111,15,5,0.0825,1.2375
8206,15,5,0.0825,1.2375
8272,15,5,0.0825,1.2375
8277,15,5,0.0825,1.2375
8412,15,5,0.0825,1.2375
8457,15,5,0.0825,1.2375
8502,15,5,0.0825,1.2375
8528,15,5,0.0825,1.2375
8699,15,5,0.0825,1.2375
8737,15,5,0.0825,1.2375
8840,15,5,0.0825,1.2375
8881,15,5,0.0825,1.2375
8917,15,5,0.0825,1.2375
8974,15,5,0.0825,1.2375
9008,15,5,0.0825,1.2375
9024,15,5,0.0825,1.2375
9027,15,5,0.0825,1.2375
9044,15,5,0.0825,1.2375
9113,15,5,0.0825,1.2375
9413,15,5,0.0825,1.2375
9414,15,5,0.0825,1.2375
9431,15,5,0.0825,1.2375
9454,15,5,0.0825,1.2375
9463,15,5,0.0825,1.2375
9639,15,5,0.0825,1.2375
9650,15,5,0.0825,1.2375
9722,15,5,0.0825,1.2375
9886,15,5,0.0825,1.2375
9999,15,5,0.0825,1.2375
81,18,6,0.0687,1.2366
214,18,6,0.0687,1.2366
215,18,6,0.0687,1.2366
264,18,6,0.0687,1.2366
999,18,6,0.0687,1.2366
1062,18,6,0.0687,1.2366
1106,18,6,0.0687,1.2366
1185,18,6,0.0687,1.2366
1357,18,6,0.0687,1.2366
1417,18,6,0.0687,1.2366
1422,18,6,0.0687,1.2366
1603,18,6,0.0687,1.2366
1799,18,6,0.0687,1.2366
1871,18,6,0.0687,1.2366
1993,18,6,0.0687,1.2366
2033,18,6,0.0687,1.2366
2068,18,6,0.0687,1.2366
2237,18,6,0.0687,1.2366
2425,18,6,0.0687,1.2366
2494,18,6,0.0687,1.2366
2584,18,6,0.0687,1.2366
2652,18,6,0.0687,1.2366
2660,18,6,0.0687,1.2366
2733,18,6,0.0687,1.2366
2968,18,6,0.0687,1.2366
3010,18,6,0.0687,1.2366
3107,18,6,0.0687,1.2366
3471,18,6,0.0687,1.2366
3537,18,6,0.0687,1.2366
3590,18,6,0.0687,1.2366
3628,18,6,0.0687,1.2366
4057,18,6,0.0687,1.2366
4202,18,6,0.0687,1.2366
4335,18,6,0.0687,1.2366
4453,18,6,0.0687,1.2366
4527,18,6,0.0687,1.2366
4737,18,6,0.0687,1.2366
4901,18,6,0.0687,1.2366
5227,18,6,0.0687,1.2366
5322,18,6,0.0687,1.2366
5625,18,6,0.0687,1.2366
5627,18,6,0.0687,1.2366
5787,18,6,0.0687,1.2366
5978,18,6,0.0687,1.2366
6056,18,6,0.0687,1.2366
6071,18,6,0.0687,1.2366
6074,18,6,0.0687,1.2366
6200,18,6,0.0687,1.2366
6324,18,6,0.0687,1.2366
6403,18,6,0.0687,1.2366
6564,18,6,0.0687,1.2366
7066,18,6,0.0687,1.2366
7172,18,6,0.0687,1.2366
7229,18,6,0.0687,1.2366
7251,18,6,0.0687,1.2366
7319,18,6,0.0687,1.2366
7421,18,6,0.0687,1.2366
7549,18,6,0.0687,1.2366
7634,18,6,0.0687,1.2366
7646,18,6,0.0687,1.2366
7647,18,6,0.0687,1.2366
7844,18,6,0.0687,1.2366
8102,18,6,0.0687,1.2366
8125,18,6,0.0687,1.2366
8523,18,6,0.0687,1.2366
8527,18,6,0.0687,1.2366
8954,18,6,0.0687,1.2366
9070,18,6,0.0687,1.2366
9175,18,6,0.0687,1.2366
9264,18,6,0.0687,1.2366
9276,18,6,0.0687,1.2366
9366,18,6,0.0687,1.2366
9512,18,6,0.0687,1.2366
9712,18,6,0.0687,1.2366
9958,18,6,0.0687,1.2366
915,42,11,0.0292,1.2264
1611,42,11,0.0292,1.2264
1644,42,11,0.0292,1.2264
1905,42,11,0.0292,1.2264
2454,42,11,0.0292,1.2264
2461,42,11,0.0292,1.2264
2698,42,11,0.0292,1.2264
2836,42,11,0.0292,1.2264
3458,42,11,0.0292,1.2264
4704,42,11,0.0292,1.2264
4741,42,11,0.0292,1.2264
4743,42,11,0.0292,1.2264
5042,42,11,0.0292,1.2264
6359,42,11,0.0292,1.2264
6503,42,11,0.0292,1.2264
6512,42,11,0.0292,1.2264
7042,42,11,0.0292,1.2264
7181,42,11,0.0292,1.2264
7264,42,11,0.0292,1.2264
7610,42,11,0.0292,1.2264
7723,42,11,0.0292,1.2264
7782,42,11,0.0292,1.2264
8727,42,11,0.0292,1.2264
9506,42,11,0.0292,1.2264
9569,42,11,0.0292,1.2264
9595,42,11,0.0292,1.2264
104,36,10,0.0338,1.2167999999999999
288,36,10,0.0338,1.2167999999999999
460,36,10,0.0338,1.2167999999999999
1160,36,10,0.0338,1.2167999999999999
1525,36,10,0.0338,1.2167999999999999
1970,36,10,0.0338,1.2167999999999999
2545,36,10,0.0338,1.2167999999999999
3620,36,10,0.0338,1.2167999999999999
3678,36,10,0.0338,1.2167999999999999
3809,36,10,0.0338,1.2167999999999999
3907,36,10,0.0338,1.2167999999999999
4003,36,10,0.0338,1.2167999999999999
4212,36,10,0.0338,1.2167999999999999
4533,36,10,0.0338,1.2167999999999999
5247,36,10,0.0338,1.2167999999999999
6058,36,10,0.0338,1.2167999999999999
6441,36,10,0.0338,1.2167999999999999
6815,36,10,0.0338,1.2167999999999999
7277,36,10,0.0338,1.2167999999999999
7822,36,10,0.0338,1.2167999999999999
7977,36,10,0.0338,1.2167999999999999
8578,36,10,0.0338,1.2167999999999999
8645,36,10,0.0338,1.2167999999999999
9348,36,10,0.0338,1.2167999999999999
9424,36,10,0.0338,1.2167999999999999
9669,36,10,0.0338,1.2167999999999999
9845,36,10,0.0338,1.2167999999999999
3604,54,12,0.0225,1.2149999999999999
5462,54,12,0.0225,1.2149999999999999
7211,54,12,0.0225,1.2149999999999999
7410,54,12,0.0225,1.2149999999999999
8992,54,12,0.0225,1.2149999999999999
64,13,4,0.0934,1.2142
203,13,4,0.0934,1.2142
222,13,4,0.0934,1.2142
346,13,4,0.0934,1.2142
352,13,4,0.0934,1.2142
369,13,4,0.0934,1.2142
405,13,4,0.0934,1.2142
407,13,4,0.0934,1.2142
593,13,4,0.0934,1.2142
595,13,4,0.0934,1.2142
671,13,4,0.0934,1.2142
693,13,4,0.0934,1.2142
699,13,4,0.0934,1.2142
753,13,4,0.0934,1.2142
1207,13,4,0.0934,1.2142
1266,13,4,0.0934,1.2142
1278,13,4,0.0934,1.2142
1581,13,4,0.0934,1.2142
1633,13,4,0.0934,1.2142
1641,13,4,0.0934,1.2142
1765,13,4,0.0934,1.2142
1829,13,4,0.0934,1.2142
1836,13,4,0.0934,1.2142
1887,13,4,0.0934,1.2142
2087,13,4,0.0934,1.2142
2190,13,4,0.0934,1.2142
2482,13,4,0.0934,1.2142
2553,13,4,0.0934,1.2142
2850,13,4,0.0934,1.2142
2858,13,4,0.0934,1.2142
3057,13,4,0.0934,1.2142
3147,13,4,0.0934,1.2142
3253,13,4,0.0934,1.2142
3270,13,4,0.0934,1.2142
3312,13,4,0.0934,1.2142
3362,13,4,0.0934,1.2142
3398,13,4,0.0934,1.2142
3402,13,4,0.0934,1.2142
3459,13,4,0.0934,1.2142
3473,13,4,0.0934,1.2142
3483,13,4,0.0934,1.2142
3507,13,4,0.0934,1.2142
3542,13,4,0.0934,1.2142
3543,13,4,0.0934,1.2142
3561,13,4,0.0934,1.2142
3625,13,4,0.0934,1.2142
3662,13,4,0.0934,1.2142
3696,13,4,0.0934,1.2142
3726,13,4,0.0934,1.2142
3747,13,4,0.0934,1.2142
3749,13,4,0.0934,1.2142
3826,13,4,0.0934,1.2142
4102,13,4,0.0934,1.2142
4139,13,4,0.0934,1.2142
4252,13,4,0.0934,1.2142
4282,13,4,0.0934,1.2142
4295,13,4,0.0934,1.2142
4337,13,4,0.0934,1.2142
4489,13,4,0.0934,1.2142
4612,13,4,0.0934,1.2142
4616,13,4,0.0934,1.2142
4686,13,4,0.0934,1.2142
4785,13,4,0.0934,1.2142
4787,13,4,0.0934,1.2142
4832,13,4,0.0934,1.2142
4937,13,4,0.0934,1.2142
4964,13,4,0.0934,1.2142
4988,13,4,0.0934,1.2142
5029,13,4,0.0934,1.2142
5111,13,4,0.0934,1.2142
5185,13,4,0.0934,1.2142
5188,13,4,0.0934,1.2142
5200,13,4,0.0934,1.2142
5514,13,4,0.0934,1.2142
5720,13,4,0.0934,1.2142
5733,13,4,0.0934,1.2142
5755,13,4,0.0934,1.2142
5811,13,4,0.0934,1.2142
5813,13,4,0.0934,1.2142
6011,13,4,0.0934,1.2142
6293,13,4,0.0934,1.2142
6356,13,4,0.0934,1.2142
6436,13,4,0.0934,1.2142
6683,13,4,0.0934,1.2142
6713,13,4,0.0934,1.2142
6955,13,4,0.0934,1.2142
7107,13,4,0.0934,1.2142
7119,13,4,0.0934,1.2142
7128,13,4,0.0934,1.2142
7185,13,4,0.0934,1.2142
7209,13,4,0.0934,1.2142
7253,13,4,0.0934,1.2142
7347,13,4,0.0934,1.2142
7439,13,4,0.0934,1.2142
7498,13,4,0.0934,1.2142
7718,13,4,0.0934,1.2142
7754,13,4,0.0934,1.2142
7794,13,4,0.0934,1.2142
7798,13,4,0.0934,1.2142
8124,13,4,0.0934,1.2142
8178,13,4,0.0934,1.2142
8318,13,4,0.0934,1.2142
8340,13,4,0.0934,1.2142
8354,13,4,0.0934,1.2142
8372,13,4,0.0934,1.2142
8436,13,4,0.0934,1.2142
8570,13,4,0.0934,1.2142
8575,13,4,0.0934,1.2142
8675,13,4,0.0934,1.2142
8800,13,4,0.0934,1.2142
8916,13,4,0.0934,1.2142
8961,13,4,0.0934,1.2142
8985,13,4,0.0934,1.2142
9148,13,4,0.0934,1.2142
9244,13,4,0.0934,1.2142
9254,13,4,0.0934,1.2142
9416,13,4,0.0934,1.2142
9451,13,4,0.0934,1.2142
9525,13,4,0.0934,1.2142
9535,13,4,0.0934,1.2142
9589,13,4,0.0934,1.2142
9601,13,4,0.0934,1.2142
9745,13,4,0.0934,1.2142
9988,13,4,0.0934,1.2142
663,27,8,0.0447,1.2068999999999999
705,27,8,0.0447,1.2068999999999999
726,27,8,0.0447,1.2068999999999999
1144,27,8,0.0447,1.2068999999999999
1361,27,8,0.0447,1.2068999999999999
1371,27,8,0.0447,1.2068999999999999
1454,27,8,0.0447,1.2068999999999999
1540,27,8,0.0447,1.2068999999999999
1689,27,8,0.0447,1.2068999999999999
1778,27,8,0.0447,1.2068999999999999
1992,27,8,0.0447,1.2068999999999999
2156,27,8,0.0447,1.2068999999999999
2354,27,8,0.0447,1.2068999999999999
2653,27,8,0.0447,1.2068999999999999
2767,27,8,0.0447,1.2068999999999999
2898,27,8,0.0447,1.2068999999999999
3198,27,8,0.0447,1.2068999999999999
3251,27,8,0.0447,1.2068999999999999
3401,27,8,0.0447,1.2068999999999999
3509,27,8,0.0447,1.2068999999999999
3527,27,8,0.0447,1.2068999999999999
3626,27,8,0.0447,1.2068999999999999
3770,27,8,0.0447,1.2068999999999999
3980,27,8,0.0447,1.2068999999999999
4162,27,8,0.0447,1.2068999999999999
4592,27,8,0.0447,1.2068999999999999
4683,27,8,0.0447,1.2068999999999999
4724,27,8,0.0447,1.2068999999999999
4770,27,8,0.0447,1.2068999999999999
4989,27,8,0.0447,1.2068999999999999
5012,27,8,0.0447,1.2068999999999999
5410,27,8,0.0447,1.2068999999999999
5549,27,8,0.0447,1.2068999999999999
5693,27,8,0.0447,1.2068999999999999
5861,27,8,0.0447,1.2068999999999999
6034,27,8,0.0447,1.2068999999999999
6136,27,8,0.0447,1.2068999999999999
6144,27,8,0.0447,1.2068999999999999
6648,27,8,0.0447,1.2068999999999999
6721,27,8,0.0447,1.2068999999999999
6820,27,8,0.0447,1.2068999999999999
7262,27,8,0.0447,1.2068999999999999
7417,27,8,0.0447,1.2068999999999999
7608,27,8,0.0447,1.2068999999999999
7687,27,8,0.0447,1.2068999999999999
7831,27,8,0.0447,1.2068999999999999
7942,27,8,0.0447,1.2068999999999999
8116,27,8,0.0447,1.2068999999999999
8243,27,8,0.0447,1.2068999999999999
8252,27,8,0.0447,1.2068999999999999
8460,27,8,0.0447,1.2068999999999999
8687,27,8,0.0447,1.2068999999999999
8778,27,8,0.0447,1.2068999999999999
8825,27,8,0.0447,1.2068999999999999
9089,27,8,0.0447,1.2068999999999999
9123,27,8,0.0447,1.2068999999999999
9697,27,8,0.0447,1.2068999999999999
